Open,High,Low,Close,Date,Volume,Volume_Weighted
63519.0,63975.1,63166.0,63344.4,2021-04-14 08:00,2492,63434.3683
63346.17,63512.71,63084.58,63493.79,2021-04-14 09:00,1744,63318.5299
63493.8,63494.79,63059.0,63255.77,2021-04-14 10:00,1536,63228.2742
63232.99,63908.92,63025.0,63783.36,2021-04-14 11:00,1764,63512.6871
63786.45,64321.6,63602.99,64303.77,2021-04-14 12:00,2266,63891.4476
64281.37,64587.15,63894.27,64086.43,2021-04-14 13:00,2171,64315.9085
64086.42,64900.0,63920.01,64621.36,2021-04-14 14:00,3275,64447.8562
64608.3,64677.96,64268.37,64360.26,2021-04-14 15:00,1929,64438.1443
64272.44,64631.32,63375.43,64003.8,2021-04-14 16:00,3104,64154.7992
63908.61,64471.5,62951.0,63654.05,2021-04-14 17:00,3190,63604.8057
63548.06,64422.28,61417.52,64167.58,2021-04-14 18:00,2641,63868.592
64167.58,64850.0,64056.0,64583.11,2021-04-14 19:00,1791,64429.7282
64583.11,64707.33,63514.0,63892.2,2021-04-14 20:00,2422,64170.3674
63914.62,64581.77,63521.0,63818.02,2021-04-14 21:00,2687,64077.7555
63818.01,63818.02,62510.03,62981.12,2021-04-14 22:00,5039,63114.5793
62985.93,63383.1,62268.0,63047.68,2021-04-14 23:00,3693,62898.1433
63039.06,63743.1,62772.23,63528.54,2021-04-15 00:00,2988,63320.6219
63540.82,63800.5,62190.0,62274.35,2021-04-15 01:00,4144,62960.5799
62245.41,62696.0,61456.84,62085.36,2021-04-15 02:00,5063,62159.3981
62124.0,62499.236084,61277.91,62135.27,2021-04-15 03:00,4193,61785.4326
62166.94,62479.0,61849.53,62371.94,2021-04-15 04:00,1462,62152.2501
62371.94,62878.0,62345.03,62757.74,2021-04-15 05:00,2174,62639.6133
62747.86,63055.22,62535.06,62850.93,2021-04-15 06:00,2765,62788.9444
62844.91,63091.86,62564.0,62971.8,2021-04-15 07:00,1714,62848.3355
62909.0,63480.0,62670.0,62725.8,2021-04-15 08:00,2056,63101.6246
62690.0,63188.81,62575.0,62656.73,2021-04-15 09:00,2605,62882.7064
62664.27,63079.84,62301.0,62846.15,2021-04-15 10:00,2015,62649.7519
62824.64,63249.98,62627.0,63065.99,2021-04-15 11:00,1476,63010.9641
63074.28,63500.0,62851.0,62964.53,2021-04-15 12:00,1741,63227.267
62964.53,63295.78,62648.0,63091.31,2021-04-15 13:00,1315,62930.5657
63137.43,63333.0,62700.0,62956.19,2021-04-15 14:00,1600,63065.329
62956.18,63228.4,62704.0,62776.0,2021-04-15 15:00,1557,62917.3917
62853.8,63138.75,62444.0,62621.0,2021-04-15 16:00,2615,62764.0824
62621.0,62844.03,62412.0,62628.51,2021-04-15 17:00,562,62641.8804
62632.66,62727.9,62116.43,62144.0,2021-04-15 18:00,1327,62343.0927
62162.26,62477.94,61980.0,62353.54,2021-04-15 19:00,1493,62263.6151
62319.2,62761.27,62303.0,62668.42,2021-04-15 20:00,1537,62572.8797
62666.62,63148.05,62591.28,62976.7,2021-04-15 21:00,2418,62868.883
62958.75,63060.51,62555.0,62700.0,2021-04-15 22:00,2375,62821.5145
62687.55,62812.91,62390.0,62767.0,2021-04-15 23:00,2237,62592.8756
62767.0,63032.38,62464.0,62732.79,2021-04-16 00:00,1736,62758.2751
62714.57,62773.87,62305.0,62649.52,2021-04-16 01:00,1425,62545.5154
62622.89,62925.58,62494.0,62822.52,2021-04-16 02:00,1808,62700.4274
62821.42,63694.0,62724.167948,63462.52,2021-04-16 03:00,4071,63211.8953
